Data,Valoare_EUR
2021-03-17,4.8879
2021-03-18,4.8876
2021-03-19,4.8858
2021-03-22,4.885
2021-03-23,4.8888
2021-03-24,4.8886
2021-03-25,4.8864
2021-03-26,4.8869
2021-03-29,4.8972
2021-03-30,4.9156
2021-03-31,4.9251
2021-04-01,4.9117
2021-04-02,4.9106
2021-04-05,4.9161
2021-04-06,4.917
2021-04-07,4.9168
2021-04-08,4.9228
2021-04-09,4.9212
2021-04-12,4.9205
2021-04-13,4.9225
2021-04-14,4.9226
2021-04-15,4.9245
2021-04-16,4.9243
2021-04-19,4.9261
2021-04-20,4.9279
2021-04-21,4.926
2021-04-22,4.9255
2021-04-23,4.9257
2021-04-26,4.9238
2021-04-27,4.926
2021-04-28,4.927
2021-04-29,4.9247
2021-05-04,4.9256
2021-05-05,4.9254
2021-05-06,4.9266
2021-05-07,4.9262
2021-05-10,4.9259
2021-05-11,4.9265
2021-05-12,4.9263
2021-05-13,4.9265
2021-05-14,4.9253
2021-05-17,4.9256
2021-05-18,4.9268
2021-05-19,4.9267
2021-05-20,4.9265
2021-05-21,4.9268
2021-05-24,4.9261
2021-05-25,4.9246
2021-05-26,4.9225
2021-05-27,4.916
2021-05-28,4.919
2021-05-31,4.9198
2021-06-02,4.9197
2021-06-03,4.9227
2021-06-04,4.9228
2021-06-07,4.923
2021-06-08,4.9229
2021-06-09,4.9232
2021-06-10,4.9218
2021-06-11,4.9202
2021-06-14,4.9188
2021-06-15,4.9243
2021-06-16,4.9241
2021-06-17,4.9242
2021-06-18,4.925
2021-06-22,4.9253
2021-06-23,4.9259
2021-06-24,4.9242
2021-06-25,4.9254
2021-06-28,4.926
2021-06-29,4.9262
2021-06-30,4.9267
2021-07-01,4.9261
2021-07-02,4.9269
2021-07-05,4.9266
2021-07-06,4.9265
2021-07-07,4.927
2021-07-08,4.9268
2021-07-09,4.9281
2021-07-12,4.9275
2021-07-13,4.9278
2021-07-14,4.9283
2021-07-15,4.9277
2021-07-16,4.9274
2021-07-19,4.9262
2021-07-20,4.9253
2021-07-21,4.9247
2021-07-22,4.9241
2021-07-23,4.9219
2021-07-26,4.9208
2021-07-27,4.9194
2021-07-28,4.9197
2021-07-29,4.9209
2021-07-30,4.9198
2021-08-02,4.9171
2021-08-03,4.9183
2021-08-04,4.9184
2021-08-05,4.9176
2021-08-06,4.9145
2021-08-09,4.9131
2021-08-10,4.9161
2021-08-11,4.9158
2021-08-12,4.9148
2021-08-13,4.9118
2021-08-16,4.912
2021-08-17,4.9232
2021-08-18,4.9259
2021-08-19,4.9278
2021-08-20,4.9338
2021-08-23,4.9335
2021-08-24,4.9286
2021-08-25,4.9284
2021-08-26,4.9306
2021-08-27,4.9334
2021-08-30,4.9349
2021-08-31,4.9348
2021-09-01,4.9345
2021-09-02,4.9386
2021-09-03,4.9416
2021-09-06,4.9475
2021-09-07,4.9488
2021-09-08,4.9479
2021-09-09,4.9482
2021-09-10,4.9432
2021-09-13,4.9444
2021-09-14,4.9475
2021-09-15,4.9481
2021-09-16,4.9482
2021-09-17,4.9473
2021-09-20,4.9481
2021-09-21,4.9485
2021-09-22,4.9495
2021-09-23,4.949
2021-09-24,4.9491
2021-09-27,4.9488
2021-09-28,4.9481
2021-09-29,4.948
2021-09-30,4.9471
2021-10-01,4.9479
2021-10-04,4.9469
2021-10-05,4.9485
2021-10-06,4.9483
2021-10-07,4.9475
2021-10-08,4.947
2021-10-11,4.9486
2021-10-12,4.9485
2021-10-13,4.949
2021-10-14,4.9488
2021-10-15,4.9484
2021-10-18,4.9481
2021-10-19,4.949
2021-10-20,4.9488
2021-10-21,4.947
2021-10-22,4.9467
2021-10-25,4.9472
2021-10-26,4.9476
2021-10-27,4.9486
2021-10-28,4.949
2021-10-29,4.9489
2021-11-01,4.9488
2021-11-02,4.9487
2021-11-03,4.949
2021-11-04,4.9486
2021-11-05,4.9485
2021-11-08,4.9489
2021-11-09,4.9482
2021-11-10,4.949
2021-11-11,4.9489
2021-11-12,4.9476
2021-11-15,4.9489
2021-11-16,4.9487
2021-11-17,4.9491
2021-11-18,4.9488
2021-11-19,4.949
2021-11-22,4.9491
2021-11-23,4.9487
2021-11-24,4.9491
2021-11-25,4.949
2021-11-26,4.9491
2021-11-29,4.949
2021-12-02,4.949
2021-12-03,4.9487
2021-12-06,4.9483
2021-12-07,4.9485
2021-12-08,4.9488
2021-12-09,4.9491
2021-12-10,4.949
2021-12-13,4.9491
2021-12-14,4.9492
2021-12-15,4.9489
2021-12-16,4.9491
2021-12-17,4.9492
2021-12-20,4.9488
2021-12-21,4.9491
2021-12-22,4.9489
2021-12-23,4.9488
2021-12-24,4.949
2021-12-27,4.9492
2021-12-28,4.9491
2021-12-29,4.949
2021-12-30,4.9486
2021-12-31,4.9481
2022-01-03,4.9474
2022-01-04,4.9464
2022-01-05,4.946
2022-01-06,4.9431
2022-01-07,4.9436
2022-01-10,4.9439
2022-01-11,4.9452
2022-01-12,4.9445
2022-01-13,4.9435
2022-01-14,4.9432
2022-01-17,4.944
2022-01-18,4.9445
2022-01-19,4.9447
2022-01-20,4.9452
2022-01-21,4.9449
2022-01-25,4.944
2022-01-26,4.9443
2022-01-27,4.9453
2022-01-28,4.9459
2022-01-31,4.9468
2022-02-01,4.9464
2022-02-02,4.9462
2022-02-03,4.9457
2022-02-04,4.9462
2022-02-07,4.946
2022-02-08,4.9458
2022-02-09,4.9459
2022-02-10,4.945
2022-02-11,4.9447
2022-02-14,4.9455
2022-02-15,4.9434
2022-02-16,4.9405
2022-02-17,4.9439
2022-02-18,4.9445
2022-02-21,4.9447
2022-02-22,4.9458
2022-02-23,4.9463
2022-02-24,4.9489
2022-02-25,4.9479
2022-02-28,4.948
2022-03-01,4.9487
2022-03-02,4.949
2022-03-03,4.9489
2022-03-04,4.9491
2022-03-07,4.949
2022-03-08,4.9492
2022-03-09,4.949
2022-03-10,4.9488
2022-03-11,4.9489
2022-03-14,4.949
2022-03-15,4.9487
2022-03-16,4.9476
2022-03-17,4.9461
2022-03-18,4.9481
2022-03-21,4.9474
2022-03-22,4.9452
2022-03-23,4.9459
2022-03-24,4.949
2022-03-25,4.9489
2022-03-28,4.9483
2022-03-29,4.9475
2022-03-30,4.947
2022-03-31,4.9466
2022-04-01,4.9454
2022-04-04,4.9437
2022-04-05,4.9431
2022-04-06,4.9447
2022-04-07,4.9426
2022-04-08,4.9419
2022-04-11,4.9409
2022-04-12,4.9412
2022-04-13,4.9413
2022-04-14,4.9443
2022-04-15,4.9432
2022-04-18,4.9416
2022-04-19,4.9415
2022-04-20,4.9422
2022-04-21,4.9441
2022-04-26,4.9457
2022-04-27,4.9474
2022-04-28,4.9475
2022-04-29,4.948
2022-05-02,4.9476
2022-05-03,4.9469
2022-05-04,4.9471
2022-05-05,4.9486
2022-05-06,4.949
2022-05-09,4.9469
2022-05-10,4.9457
2022-05-11,4.9479
2022-05-12,4.948
2022-05-13,4.9458
2022-05-16,4.9469
2022-05-17,4.9477
2022-05-18,4.9472
2022-05-19,4.9474
2022-05-20,4.9477
2022-05-23,4.9472
2022-05-24,4.9457
2022-05-25,4.9417
2022-05-26,4.9423
2022-05-27,4.9429
2022-05-30,4.9438
2022-05-31,4.943
2022-06-02,4.9411
2022-06-03,4.9427
2022-06-06,4.9419
2022-06-07,4.9426
2022-06-08,4.9456
2022-06-09,4.9454
2022-06-10,4.9432
2022-06-14,4.9439
2022-06-15,4.9449
2022-06-16,4.9443
2022-06-17,4.9472
2022-06-20,4.9448
2022-06-21,4.9475
2022-06-22,4.9469
2022-06-23,4.9464
2022-06-24,4.9471
2022-06-27,4.9459
2022-06-28,4.9457
2022-06-29,4.943
2022-06-30,4.9454
2022-07-01,4.9461
2022-07-04,4.9448
2022-07-05,4.9449
2022-07-06,4.9454
2022-07-07,4.9451
2022-07-08,4.9439
2022-07-11,4.943
2022-07-12,4.9411
2022-07-13,4.9414
2022-07-14,4.9418
2022-07-15,4.9408
2022-07-18,4.939
2022-07-19,4.9395
2022-07-20,4.9399
2022-07-21,4.9391
2022-07-22,4.9324
2022-07-25,4.931
2022-07-26,4.9328
2022-07-27,4.9337
2022-07-28,4.9353
2022-07-29,4.9351
2022-08-01,4.9287
2022-08-02,4.9262
2022-08-03,4.9252
2022-08-04,4.9263
2022-08-05,4.9264
2022-08-08,4.921
2022-08-09,4.905
2022-08-10,4.9132
2022-08-11,4.909
2022-08-12,4.8909
2022-08-16,4.8831
2022-08-17,4.8849
2022-08-18,4.8793
2022-08-19,4.8806
2022-08-22,4.8853
2022-08-23,4.8851
2022-08-24,4.8818
2022-08-25,4.8756
2022-08-26,4.8734
2022-08-29,4.8707
2022-08-30,4.8652
2022-08-31,4.8605
2022-09-01,4.8525
2022-09-02,4.8344
2022-09-05,4.8215
2022-09-06,4.8287
2022-09-07,4.858
2022-09-08,4.8707
2022-09-09,4.8936
2022-09-12,4.9047
2022-09-13,4.9216
2022-09-14,4.9247
2022-09-15,4.9259
2022-09-16,4.9253
2022-09-19,4.9226
2022-09-20,4.9313
2022-09-21,4.9436
2022-09-22,4.9412
2022-09-23,4.9437
2022-09-26,4.9427
2022-09-27,4.9437
2022-09-28,4.9479
2022-09-29,4.9486
2022-09-30,4.949
2022-10-03,4.948
2022-10-04,4.9471
2022-10-05,4.9419
2022-10-06,4.9366
2022-10-07,4.941
2022-10-10,4.9395
2022-10-11,4.9367
2022-10-12,4.9397
2022-10-13,4.9416
2022-10-14,4.935
2022-10-17,4.936
2022-10-18,4.9357
2022-10-19,4.929
2022-10-20,4.9246
2022-10-21,4.913
2022-10-24,4.9139
2022-10-25,4.9038
2022-10-26,4.8793
2022-10-27,4.889
2022-10-28,4.9128
2022-10-31,4.9141
2022-11-01,4.9134
2022-11-02,4.9113
2022-11-03,4.901
2022-11-04,4.8876
2022-11-07,4.8871
2022-11-08,4.8912
2022-11-09,4.9052
2022-11-10,4.8919
2022-11-11,4.8902
2022-11-14,4.8982
2022-11-15,4.9032
2022-11-16,4.9209
2022-11-17,4.9267
2022-11-18,4.9418
2022-11-21,4.9417
2022-11-22,4.9253
2022-11-23,4.9385
2022-11-24,4.9309
2022-11-25,4.925
2022-11-28,4.9266
2022-11-29,4.9184
2022-12-02,4.9297
2022-12-05,4.9207
2022-12-06,4.9126
2022-12-07,4.9186
2022-12-08,4.9192
2022-12-09,4.9211
2022-12-12,4.9286
2022-12-13,4.9314
2022-12-14,4.9248
2022-12-15,4.9206
2022-12-16,4.9199
2022-12-19,4.9176
2022-12-20,4.914
2022-12-21,4.9023
2022-12-22,4.8981
2022-12-23,4.902
2022-12-27,4.9278
2022-12-28,4.9463
2022-12-29,4.9458
2022-12-30,4.9474
2023-01-03,4.9273
2023-01-04,4.9264
2023-01-05,4.9243
2023-01-06,4.9293
2023-01-09,4.9252
2023-01-10,4.9253
2023-01-11,4.9328
2023-01-12,4.9359
2023-01-13,4.9413
2023-01-16,4.9405
2023-01-17,4.9314
2023-01-18,4.9355
2023-01-19,4.9293
2023-01-20,4.9255
2023-01-23,4.9198
2023-01-25,4.9016
2023-01-26,4.8858
